,DelDios_flow_cfs,Felicita_flow_cfs,KitCarson_flow_cfs,SanDieguito_flow_cfs,Moonsong_flow_cfs,GreenValley_flow_cfs,Cloverdale_flow_cfs,Guejito_flow_cfs,Sycamore_flow_cfs,ElKu_flow_cfs,ViaRancho_flow_cfs,Tazon_flow_cfs,Oceans11_flow_cfs,Lomica_flow_cfs
14.7,12.896,33.124,26.479,13.781,18.533,40.729,1.838,33.214,7.462,58.163,38.541,18.398,,28.978
14.8,13.104,33.727,26.836,13.875,18.933,41.25,1.884,33.929,7.588,59.019,39.063,18.612,,29.245
14.9,13.318,34.33,27.193,13.969,19.45,41.771,1.933,34.643,7.712,59.991,39.589,18.827,,29.513
15.0,13.545,34.934,27.569,14.062,19.9,42.292,1.978,35.5,7.837,60.863,40.118,19.043,,29.78
15.1,13.769,35.537,27.943,14.156,20.5,42.819,2.027,36.357,7.962,61.742,40.649,19.258,,30.048
15.2,13.962,36.14,28.3,14.25,21.0,43.351,2.075,37.077,8.092,62.741,41.184,19.474,,30.306
15.3,14.167,36.743,28.685,14.344,21.6,43.883,2.127,37.846,8.224,63.637,41.722,19.691,,30.568
15.4,14.4,37.346,29.069,14.438,22.15,44.415,2.178,38.615,8.35,64.541,42.263,19.907,,30.837
15.5,14.688,37.949,29.454,14.531,22.75,44.947,2.226,39.417,8.475,65.567,42.807,20.124,,31.106
15.6,14.95,38.552,29.836,14.625,23.3,45.489,2.28,40.25,8.577,66.487,43.354,20.342,,31.375
15.7,15.2,39.156,30.193,14.719,23.9,46.033,2.329,41.083,8.673,67.415,43.904,20.559,,31.644
15.8,15.45,39.759,30.569,14.812,24.5,46.576,2.38,41.917,8.792,68.468,44.457,20.777,,31.912
15.9,15.7,40.498,30.954,14.906,25.1,47.12,2.428,42.75,9.0,69.413,45.013,20.995,,32.181
16.0,15.95,41.328,31.342,15.0,25.7,47.667,2.484,43.583,9.132,70.366,45.572,21.213,,32.45
16.1,16.2,42.158,31.758,15.034,26.3,48.222,2.535,44.417,9.264,71.447,46.134,21.432,,32.719
16.2,16.45,42.988,32.146,15.069,26.9,48.778,2.592,45.25,9.403,72.417,46.698,21.65,,32.989
16.3,16.722,43.818,32.55,15.103,27.45,49.333,2.65,46.091,9.539,73.394,47.266,21.869,,33.261
16.4,16.975,44.648,32.933,15.138,28.1,49.889,2.702,47.0,9.671,74.503,47.837,22.088,,33.533
16.5,17.225,45.478,33.267,15.172,29.0,50.455,2.76,47.667,9.806,75.498,48.41,22.307,,33.805
16.6,17.5,46.308,33.842,15.207,29.85,51.023,2.82,48.455,9.944,76.501,48.987,22.526,,34.077
16.7,17.75,47.138,34.258,15.241,30.7,51.591,2.877,49.364,10.079,77.638,49.566,22.745,,34.348
16.8,18.025,47.968,34.675,15.276,31.6,52.159,2.932,50.273,10.211,78.658,50.148,22.964,,34.62
16.9,18.278,48.798,35.092,15.31,31.873,52.733,2.993,51.182,10.347,79.686,50.733,23.183,,34.892
17.0,18.556,49.628,35.527,15.345,32.8,53.314,3.054,52.091,10.486,80.853,51.321,23.402,,35.164
17.1,18.833,50.458,35.967,15.379,33.8,53.895,3.113,53.0,10.625,81.898,51.912,23.621,,35.436
17.2,19.111,51.288,36.391,15.414,34.5,54.477,3.177,53.909,10.765,82.952,52.505,23.84,,35.708
17.3,19.389,52.118,36.842,15.448,35.3,55.061,3.24,54.818,10.912,84.147,53.102,24.059,,35.977
17.4,19.687,52.948,37.258,15.483,36.1,55.671,3.305,55.727,11.056,85.218,53.701,24.278,,36.245
17.5,19.972,53.778,37.709,15.542,36.85,56.28,3.371,56.7,11.194,86.298,54.303,24.496,,36.512
17.6,20.25,54.608,38.133,15.625,37.089,56.89,3.435,57.7,11.333,87.522,54.907,24.715,,36.779
17.7,20.528,55.438,38.573,15.708,37.8,57.5,3.499,58.636,11.472,88.619,55.515,24.933,,37.046
17.8,20.812,56.268,39.027,15.792,38.7,58.11,3.564,59.6,11.618,89.725,56.125,25.151,,37.314
17.9,21.111,57.218,39.482,15.875,39.4,58.72,3.636,60.6,11.765,90.979,56.738,25.369,,37.581
18.0,21.406,58.248,39.936,15.958,40.2,59.329,3.703,61.6,11.912,92.103,57.353,25.587,,
18.1,21.719,59.279,40.391,16.053,41.0,59.939,3.769,62.667,12.059,93.235,57.971,25.805,,
18.2,22.0,60.403,40.845,16.16,41.8,60.577,3.843,63.7,12.206,94.518,58.592,26.022,,
