,Level_in,Flow_gpm
338,0.894,49.7742258056
339,0.895,49.907472487
340,0.896,50.0409133295
341,0.897,50.1745483573
342,0.898,50.3083775946
343,0.899,50.4424010654
344,0.9,50.5766187935
345,0.901,50.7110308027
346,0.902,50.8456371166
347,0.904,51.1154327525
348,0.907,51.5215840756
349,0.909,51.7933238058
350,0.91,51.9294853937
351,0.911,52.0658414937
352,0.912,52.202392128
353,0.913,52.339137319
354,0.914,52.476077089
355,0.916,52.7505404539
356,0.917,52.8880640926
357,0.918,53.0257823978
358,0.92,53.301803094
359,0.921,53.4401055279
360,0.923,53.7172946734
361,0.924,53.8561814272
362,0.925,53.9952629963
363,0.926,54.1345394014
364,0.927,54.2740106633
365,0.928,54.4136768025
366,0.929,54.5535378393
367,0.93,54.6935937943
368,0.933,55.1149313689
369,0.935,55.3967980431
370,0.936,55.5380239268
371,0.937,55.6794448676
372,0.938,55.8210608849
373,0.94,56.1048782263
374,0.941,56.2470795886
375,0.942,56.3894761039
376,0.943,56.5320677912
377,0.944,56.6748546691
378,0.946,56.9610140714
379,0.947,57.1043866326
380,0.948,57.2479544582
381,0.949,57.3917175666
382,0.95,57.5356759757
383,0.951,57.6798297035
384,0.953,57.9687231865
385,0.954,58.1134629771
386,0.955,58.2583981571
387,0.956,58.4035287439
388,0.957,58.548854755
389,0.958,58.6943762073
390,0.959,58.8400931181
391,0.96,58.9860055043
392,0.961,59.1321133828
393,0.963,59.4249156835
394,0.964,59.5716101389
395,0.965,59.718500153
396,0.966,59.8655857421
397,0.967,60.0128669224
398,0.97,60.4558841711
399,0.971,60.6039478763
400,0.972,60.7522072523
401,0.973,60.9006623145
402,0.974,61.0493130785
403,0.975,61.1981595597
404,0.976,61.3472017732
405,0.977,61.4964397344
406,0.979,61.7955029595
407,0.982,62.245566277
408,0.983,62.3959790361
409,0.984,62.546587646
410,0.985,62.697392121
411,0.987,62.999588723
412,0.988,63.1509808782
413,0.989,63.3025689548
414,0.99,63.4543529666
415,0.992,63.7585088504
416,0.993,63.9108807496
417,0.994,64.0634486382
418,0.995,64.2162125295
419,0.997,64.522328373
420,0.998,64.6756803512
421,0.999,64.8292283844
422,1.0,64.9829724853
423,1.001,65.1369126665
424,1.002,65.2910489408
425,1.004,65.5999098182
426,1.005,65.754634446
427,1.006,65.9095552163
428,1.007,66.064672141
429,1.008,66.2199852321
430,1.009,66.3754945017
431,1.01,66.5311999614
432,1.012,66.8431994981
433,1.013,66.9994935982
434,1.014,67.1559839346
435,1.015,67.3126705188
436,1.016,67.4695533619
437,1.017,67.626632475
438,1.018,67.7839078691
439,1.019,67.9413795552
440,1.02,68.0990475441
441,1.021,68.2569118465
442,1.023,68.5732294343
443,1.024,68.7316827406
444,1.025,68.8903324023
445,1.026,69.0491784298
446,1.027,69.2082208331
447,1.028,69.3674596222
448,1.029,69.5268948073
449,1.03,69.686526398
450,1.031,69.8463544042
451,1.033,70.1665997017
452,1.034,70.327017012
453,1.035,70.4876307759
454,1.037,70.8094477015
455,1.038,70.9706508816
456,1.041,71.4554393988
457,1.044,71.9419965656
458,1.045,72.1045753613
459,1.046,72.2673507076
460,1.048,72.5934910855
461,1.049,72.7568561332
462,1.05,72.9204177641
463,1.051,73.0841759862
464,1.052,73.2481308072
465,1.053,73.4122822349
466,1.054,73.5766302769
467,1.055,73.7411749407
468,1.056,73.9059162339
469,1.057,74.0708541636
470,1.061,74.732572393
471,1.063,75.0646115122
472,1.064,75.2309260969
473,1.065,75.3974373738
474,1.067,75.7310500306
475,1.068,75.8981514232
476,1.069,76.0654495338
477,1.07,76.2329443685
478,1.072,76.5685242346
479,1.073,76.7366092779
480,1.074,76.9048910693
481,1.075,77.0733696144
482,1.076,77.242044919
483,1.077,77.4109169886
484,1.078,77.5799858287
485,1.081,78.0883730258
486,1.082,78.2582290012
487,1.083,78.4282817732
488,1.084,78.598531347
489,1.085,78.7689777272
490,1.086,78.9396209188
491,1.087,79.1104609265
492,1.088,79.2814977548
493,1.089,79.4527314084
494,1.09,79.6241618917
495,1.091,79.7957892091
496,1.094,80.3118522081
497,1.095,80.4842669038
498,1.096,80.6568784542
499,1.097,80.8296868631
500,1.101,81.5228891586
501,1.102,81.6966819154
502,1.103,81.8706715521
503,1.104,82.044858072
504,1.106,82.3938217745
505,1.107,82.5685989632
506,1.109,82.9187440301
507,1.11,83.094111914
508,1.111,83.2696767018
509,1.112,83.4454383962
510,1.114,83.7975525148
511,1.115,83.9739049438
512,1.116,84.150454289
513,1.117,84.3272005527
514,1.12,84.8586208754
515,1.121,85.0361548334
516,1.122,85.2138857197
517,1.127,86.1054941339
518,1.128,86.2844066237
519,1.129,86.4635160523
520,1.13,86.6428224207
521,1.133,87.1819231764
522,1.135,87.5423083977
523,1.136,87.722796426
524,1.137,87.9034814003
525,1.138,88.084363321
526,1.14,88.4467180037
527,1.142,88.809860477
528,1.144,89.1737907423
529,1.145,89.3560512971
530,1.146,89.5385088
531,1.147,89.7211632508
532,1.148,89.9040146492
533,1.149,90.087062995
534,1.151,90.4537505271
535,1.152,90.6373897123
536,1.153,90.8212258429
537,1.154,91.0052589182
538,1.155,91.1894889375
539,1.156,91.3739158998
540,1.157,91.5585398042
541,1.158,91.7433606499
542,1.16,92.1135931604
543,1.161,92.2990048229
544,1.162,92.4846134218
545,1.163,92.6704189559
546,1.164,92.8564214236
547,1.165,93.0426208234
548,1.167,93.4156104132
549,1.168,93.6024005997
550,1.169,93.7893877115
551,1.17,93.9765717468
552,1.171,94.1639527036
553,1.172,94.3515305799
554,1.174,94.7272770825
555,1.175,94.9154457043
556,1.176,95.1038112368
557,1.177,95.2923736774
558,1.18,95.8592424238
559,1.181,96.0485924719
560,1.182,96.2381394152
561,1.183,96.4278832509
562,1.185,96.8079615875
563,1.187,97.1888274576
564,1.188,97.3795557099
565,1.19,97.7616028326
566,1.191,97.9529216963
567,1.193,98.336150011
568,1.194,98.5280594549
569,1.195,98.7201657515
570,1.197,99.104968888
571,1.198,99.2976657201
572,1.199,99.4905593896
573,1.2,99.6836498923
574,1.201,99.8769372242
575,1.202,100.070421381
576,1.203,100.264102359
577,1.204,100.457980153
578,1.205,100.652054759
579,1.206,100.846326173
580,1.208,101.235459405
581,1.209,101.430321214
582,1.21,101.625379813
583,1.213,102.211736294
584,1.214,102.407581999
585,1.215,102.60362447
586,1.216,102.7998637
587,1.218,103.192932416
588,1.219,103.389761892
589,1.22,103.586788106
590,1.221,103.784011052
591,1.222,103.981430726
592,1.223,104.179047121
593,1.224,104.376860232
594,1.225,104.574870052
595,1.226,104.773076577
596,1.228,105.170079716
597,1.229,105.368876318
598,1.23,105.5678696
599,1.231,105.767059556
600,1.233,106.166029466
601,1.235,106.565785997
602,1.236,106.765959229
603,1.237,106.966329097
604,1.238,107.166895595
605,1.239,107.367658714
606,1.24,107.56861845
607,1.242,107.971127742
608,1.243,108.172677284
609,1.244,108.374423415
610,1.245,108.576366127
611,1.247,108.980841265
612,1.248,109.183373677
613,1.25,109.589028151
614,1.253,110.198983875
615,1.256,110.810708231
616,1.257,111.015009343
617,1.258,111.219506938
618,1.261,111.834178547
619,1.263,112.24494189
620,1.265,112.656490973
621,1.266,112.862560145
622,1.268,113.275287712
623,1.27,113.688800849
624,1.271,113.895851985
625,1.272,114.103099488
626,1.273,114.310543348
627,1.274,114.518183558
628,1.275,114.726020107
629,1.278,115.350707704
630,1.28,115.768147635
631,1.281,115.977162032
632,1.282,116.186372706
633,1.283,116.395779645
634,1.284,116.605382841
635,1.286,117.025177966
636,1.287,117.235369875
637,1.288,117.445758001
638,1.289,117.656342337
639,1.29,117.867122871
640,1.291,118.078099593
641,1.292,118.289272494
642,1.294,118.712206792
643,1.298,119.560429086
644,1.301,120.198654968
645,1.302,120.411789094
646,1.303,120.625119285
647,1.304,120.838645531
648,1.305,121.05236782
649,1.307,121.480400486
650,1.308,121.694710842
651,1.311,122.338817864
652,1.312,122.553912154
653,1.313,122.7692024
654,1.314,122.984688589
655,1.315,123.200370713
656,1.316,123.416248758
657,1.32,124.281719926
658,1.321,124.498577408
659,1.323,124.932879917
660,1.325,125.367965741
661,1.327,125.803834786
662,1.328,126.022062986
663,1.329,126.240486955
664,1.331,126.677922151
665,1.332,126.896933354
666,1.333,127.116140276
667,1.334,127.335542907
668,1.335,127.555141232
669,1.337,127.994924919
670,1.338,128.215110256
671,1.339,128.435491237
672,1.34,128.65606785
673,1.341,128.876840083
674,1.342,129.097807923
