Station Name,model and version,XL2 S/N,,
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373,,
Label,Meas Type,Slope,Offset,Equation
Flow_cfs,2/6/2020,23:05:00,28.22,G
FlowVolume,2/6/2020,23:05:00,1669.6,G
PT Level,2/6/2020,23:06:00,3.58,G
PT Level,2/6/2020,23:07:00,3.58,G
PT Level,2/6/2020,23:08:00,3.58,G
PT Level,2/6/2020,23:09:00,3.62,G
PT Level,2/6/2020,23:10:00,3.62,G
Flow_cfs,2/6/2020,23:10:00,28.22,G
FlowVolume,2/6/2020,23:10:00,1669.6,G
PT Level,2/6/2020,23:11:00,3.58,G
PT Level,2/6/2020,23:12:00,3.58,G
PT Level,2/6/2020,23:13:00,3.62,G
PT Level,2/6/2020,23:14:00,3.58,G
PT Level,2/6/2020,23:15:00,3.62,G
Flow_cfs,2/6/2020,23:15:00,28.22,G
FlowVolume,2/6/2020,23:15:00,1669.6,G
PT Level,2/6/2020,23:16:00,3.62,G
PT Level,2/6/2020,23:17:00,3.58,G
PT Level,2/6/2020,23:18:00,3.58,G
PT Level,2/6/2020,23:19:00,3.62,G
PT Level,2/6/2020,23:20:00,3.58,G
Flow_cfs,2/6/2020,23:20:00,27.83,G
FlowVolume,2/6/2020,23:20:00,1669.6,G
PT Level,2/6/2020,23:21:00,3.58,G
PT Level,2/6/2020,23:22:00,3.58,G
PT Level,2/6/2020,23:23:00,3.58,G
PT Level,2/6/2020,23:24:00,3.58,G
PT Level,2/6/2020,23:25:00,3.58,G
Flow_cfs,2/6/2020,23:25:00,27.83,G
FlowVolume,2/6/2020,23:25:00,1669.6,G
PT Level,2/6/2020,23:26:00,3.58,G
PT Level,2/6/2020,23:27:00,3.58,G
PT Level,2/6/2020,23:28:00,3.58,G
PT Level,2/6/2020,23:29:00,3.58,G
PT Level,2/6/2020,23:30:00,3.58,G
Flow_cfs,2/6/2020,23:30:00,27.83,G
FlowVolume,2/6/2020,23:30:00,1669.6,G
PT Level,2/6/2020,23:31:00,3.58,G
PT Level,2/6/2020,23:32:00,3.58,G
PT Level,2/6/2020,23:33:00,3.58,G
PT Level,2/6/2020,23:34:00,3.58,G
PT Level,2/6/2020,23:35:00,3.58,G
