Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow_PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
05/10/2021 12:21:00,0.00,0.00,0.000,-0.16,0.000
05/10/2021 12:22:00,0.00,0.00,0.000,-0.15,0.000
05/10/2021 12:23:00,0.00,0.00,0.000,-0.15,0.000
05/10/2021 12:24:00,0.00,0.00,0.000,-0.14,0.000
05/10/2021 12:25:00,0.00,0.00,0.000,-0.14,0.000
05/10/2021 12:26:00,0.00,0.00,0.000,-0.15,0.000
05/10/2021 12:27:00,0.00,0.00,0.000,-0.14,0.000
05/10/2021 12:28:00,0.00,0.00,0.000,-0.13,0.000
05/10/2021 12:29:00,0.00,0.00,0.000,-0.13,0.000
05/10/2021 12:30:00,0.00,0.00,0.000,-0.12,0.000
05/10/2021 12:31:00,0.00,0.00,0.000,-0.11,0.000
05/10/2021 12:32:00,0.00,0.00,0.000,-0.12,0.000
05/10/2021 12:33:00,0.00,0.00,0.000,-0.12,0.000
05/10/2021 12:34:00,0.00,0.00,0.000,-0.11,0.000
05/10/2021 12:35:00,0.00,0.00,0.000,-0.11,0.000
05/10/2021 12:36:00,0.00,0.00,0.000,-0.10,0.000
05/10/2021 12:37:00,0.00,0.00,0.000,-0.11,0.000
05/10/2021 12:38:00,0.00,0.00,0.000,-0.10,0.000
05/10/2021 12:39:00,0.00,0.00,0.000,-0.11,0.000
05/10/2021 12:40:00,0.00,0.00,0.000,-0.09,0.000
05/10/2021 12:41:00,0.00,0.00,0.000,-0.09,0.000
05/10/2021 12:42:00,0.00,0.00,0.000,-0.09,0.000
05/10/2021 12:43:00,0.00,0.00,0.000,-0.08,0.000
05/10/2021 12:44:00,0.00,0.00,0.000,-0.07,0.000
05/10/2021 12:45:00,0.00,0.00,0.000,-0.08,0.000
05/10/2021 12:46:00,0.00,0.00,0.000,-0.08,0.000
05/10/2021 12:47:00,0.00,0.00,0.000,-0.07,0.000
05/10/2021 12:48:00,0.00,0.00,0.000,-0.05,0.000
05/10/2021 12:49:00,0.00,0.00,0.000,-0.04,0.000
05/10/2021 12:50:00,0.00,0.00,0.000,-0.04,0.000
05/10/2021 12:51:00,0.00,0.00,0.000,-0.04,0.000
05/10/2021 12:52:00,0.00,0.00,0.000,-0.04,0.000
05/10/2021 12:53:00,0.00,0.00,0.000,-0.03,0.000
05/10/2021 12:54:00,0.00,0.00,0.000,-0.02,0.000
05/10/2021 12:55:00,0.00,0.00,0.000,-0.01,0.000
05/10/2021 12:56:00,0.00,0.00,0.000,0.00,0.000
05/10/2021 12:57:00,0.00,0.00,0.000,0.01,0.549
05/10/2021 12:58:00,0.00,0.00,0.000,0.02,1.097
05/10/2021 12:59:00,0.00,0.00,0.000,0.04,2.194
05/10/2021 13:00:00,0.00,0.00,0.000,0.05,2.743
05/10/2021 13:01:00,0.00,0.00,0.000,0.07,3.840
05/10/2021 13:02:00,0.00,0.00,0.000,0.08,4.388
05/10/2021 13:03:00,0.00,0.00,0.000,0.09,4.937
05/10/2021 13:04:00,0.00,0.00,0.000,0.11,6.034
05/10/2021 13:05:00,0.00,0.00,0.000,0.12,6.582
05/10/2021 13:06:00,0.00,0.00,0.000,0.13,7.131
05/10/2021 13:07:00,0.00,0.00,0.000,0.15,8.228
05/10/2021 13:08:00,0.00,0.00,0.000,0.16,8.776
05/10/2021 13:09:00,0.00,0.00,0.000,0.18,9.873
05/10/2021 13:10:00,0.00,0.00,0.000,0.22,12.067
05/10/2021 13:11:00,0.00,0.00,0.000,0.23,12.616
05/10/2021 13:12:00,0.00,0.00,0.000,0.26,14.261
05/10/2021 13:13:00,0.00,0.00,0.000,0.27,14.810
05/10/2021 13:14:00,0.00,0.00,0.000,0.29,15.907
05/10/2021 13:15:00,0.00,0.00,0.000,0.30,16.455
05/10/2021 13:16:00,0.00,0.00,0.000,0.32,18.874
05/10/2021 13:17:00,0.00,0.00,0.000,0.33,20.084
05/10/2021 13:18:00,0.00,0.00,0.000,0.35,22.503
05/10/2021 13:19:00,0.00,0.00,0.000,0.38,26.132
05/10/2021 13:20:00,0.00,0.00,0.000,0.41,29.760
05/10/2021 13:21:00,0.00,0.00,0.000,0.40,28.551
05/10/2021 13:22:00,0.00,0.00,0.000,0.33,20.084
05/10/2021 13:23:00,0.00,0.00,0.000,0.27,14.810
05/10/2021 13:24:00,0.00,0.00,0.000,0.27,14.810
05/10/2021 13:25:00,0.00,0.00,0.000,0.32,18.874
05/10/2021 13:26:00,0.00,0.00,0.000,0.37,24.922
05/10/2021 13:27:00,0.00,0.00,0.000,0.41,29.760
05/10/2021 13:28:00,0.00,0.00,0.000,0.45,34.599
05/10/2021 13:29:00,0.00,0.00,0.000,0.49,39.437
05/10/2021 13:30:00,0.00,0.00,0.000,0.54,45.485
05/10/2021 13:31:00,0.00,0.00,0.000,0.55,46.694
05/10/2021 13:32:00,0.00,0.00,0.000,0.59,51.532
05/10/2021 13:33:00,0.00,0.00,0.000,0.59,51.532
05/10/2021 13:34:00,0.00,0.00,0.000,0.63,57.954
05/10/2021 13:35:00,0.00,0.00,0.000,0.65,61.429
05/10/2021 13:36:00,0.00,0.00,0.000,0.68,66.641
05/10/2021 13:37:00,0.00,0.00,0.000,0.70,70.116
05/10/2021 13:38:00,0.00,0.00,0.000,0.71,71.854
05/10/2021 13:39:00,0.00,0.00,0.000,0.71,71.854
05/10/2021 13:40:00,0.00,0.00,0.000,0.72,73.591
05/10/2021 13:41:00,0.00,0.00,0.000,0.77,82.278
05/10/2021 13:42:00,0.00,0.00,0.000,0.82,90.966
05/10/2021 13:43:00,0.00,0.00,0.000,0.84,94.440
05/10/2021 13:44:00,0.00,0.00,0.000,0.87,99.653
05/10/2021 13:45:00,0.00,0.00,0.000,0.91,107.089
05/10/2021 13:46:00,0.00,0.00,0.000,0.93,111.538
05/10/2021 13:47:00,0.00,0.00,0.000,0.96,118.211
05/10/2021 13:48:00,0.00,0.00,0.000,0.99,124.884
05/10/2021 13:49:00,0.00,0.00,0.000,1.01,129.333
05/10/2021 13:50:00,0.00,0.00,0.000,1.03,133.781
05/10/2021 13:51:00,0.00,0.00,0.000,1.03,133.781
05/10/2021 13:52:00,0.00,0.00,0.000,1.02,131.557
05/10/2021 13:53:00,0.00,0.00,0.000,1.02,131.557
