Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,cfs,in,cfs
02/05/2021 21:20:00,1.03,0.00,0.000,1.46,0.271
02/05/2021 21:25:00,1.03,0.00,0.000,1.39,0.249
02/05/2021 21:30:00,1.03,0.00,0.000,1.41,0.255
02/05/2021 21:35:00,0.99,0.00,0.000,1.43,0.262
02/05/2021 21:40:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 21:45:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 21:50:00,0.94,0.00,0.000,1.40,0.252
02/05/2021 21:55:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 22:00:00,0.94,0.00,0.000,1.40,0.252
02/05/2021 22:05:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 22:10:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 22:15:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 22:20:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 22:25:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 22:30:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 22:35:00,0.94,0.00,0.000,1.39,0.249
02/05/2021 22:40:00,0.90,0.00,0.000,1.40,0.252
02/05/2021 22:45:00,0.90,0.00,0.000,1.40,0.252
02/05/2021 22:50:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 22:55:00,0.94,0.00,0.000,1.38,0.246
02/05/2021 23:00:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 23:05:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 23:10:00,0.86,0.00,0.000,1.40,0.252
02/05/2021 23:15:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 23:20:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 23:25:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 23:30:00,0.99,0.00,0.000,1.37,0.243
02/05/2021 23:35:00,0.94,0.00,0.000,1.40,0.252
02/05/2021 23:40:00,1.11,0.00,0.000,1.43,0.262
02/05/2021 23:45:00,1.07,0.00,0.000,1.44,0.265
02/05/2021 23:50:00,1.03,0.00,0.000,1.45,0.268
02/05/2021 23:55:00,1.03,0.00,0.000,1.41,0.255
02/06/2021 00:00:00,1.03,0.00,0.000,1.38,0.246
02/06/2021 00:05:00,1.03,0.00,0.000,1.39,0.249
02/06/2021 00:10:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 00:15:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 00:20:00,0.99,0.00,0.000,1.39,0.249
02/06/2021 00:25:00,0.99,0.00,0.000,1.40,0.252
02/06/2021 00:30:00,0.94,0.00,0.000,1.40,0.252
02/06/2021 00:35:00,0.99,0.00,0.000,1.39,0.249
02/06/2021 00:40:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 00:45:00,0.99,0.00,0.000,1.37,0.243
02/06/2021 00:50:00,0.99,0.00,0.000,1.37,0.243
