Station Name,model and version,XL2 S/N
LakeHodges_FELICITA,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911368
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,0.000000,Off
Flow _PT,Meta,1.000000,0.000000,Off
03/01/2020,09:20:00,FlowVolume,6861727.28,,G
03/01/2020,09:25:00,PT Level,3.51,in,G
03/01/2020,09:25:00,Flow_cfs,27.10,,G
03/01/2020,09:25:00,FlowVolume,6861727.28,,G
03/01/2020,09:30:00,PT Level,3.50,in,G
03/01/2020,09:30:00,Flow_cfs,27.00,,G
03/01/2020,09:30:00,FlowVolume,6861727.28,,G
03/01/2020,09:35:00,PT Level,3.50,in,G
03/01/2020,09:35:00,Flow_cfs,27.00,,G
03/01/2020,09:35:00,FlowVolume,6861727.28,,G
03/01/2020,09:40:00,PT Level,3.51,in,G
03/01/2020,09:40:00,Flow_cfs,27.10,,G
03/01/2020,09:40:00,FlowVolume,6861727.28,,G
03/01/2020,09:45:00,PT Level,3.50,in,G
03/01/2020,09:45:00,Flow_cfs,27.00,,G
03/01/2020,09:45:00,FlowVolume,6861727.28,,G
03/01/2020,09:50:00,PT Level,3.49,in,G
03/01/2020,09:50:00,Flow_cfs,26.90,,G
03/01/2020,09:50:00,FlowVolume,6861727.28,,G
03/01/2020,09:55:00,PT Level,3.49,in,G
03/01/2020,09:55:00,Flow_cfs,26.90,,G
03/01/2020,09:55:00,FlowVolume,6861727.28,,G
03/01/2020,10:00:00,PT Level,3.49,in,G
03/01/2020,10:00:00,Flow_cfs,26.90,,G
03/01/2020,10:00:00,FlowVolume,6861727.28,,G
03/01/2020,10:05:00,PT Level,3.48,in,G
03/01/2020,10:05:00,Flow_cfs,26.80,,G
03/01/2020,10:05:00,FlowVolume,6861727.28,,G
03/01/2020,10:10:00,PT Level,3.46,in,G
03/01/2020,10:10:00,Flow_cfs,26.60,,G
03/01/2020,10:10:00,FlowVolume,6861727.28,,G
03/01/2020,10:15:00,PT Level,3.49,in,G
03/01/2020,10:15:00,Flow_cfs,26.90,,G
03/01/2020,10:15:00,FlowVolume,6861727.28,,G
03/01/2020,10:20:00,PT Level,3.47,in,G
03/01/2020,10:20:00,Flow_cfs,26.70,,G
03/01/2020,10:20:00,FlowVolume,6861727.28,,G
03/01/2020,10:25:00,PT Level,3.48,in,G
03/01/2020,10:25:00,Flow_cfs,26.80,,G
03/01/2020,10:25:00,FlowVolume,6861727.28,,G
03/01/2020,10:30:00,PT Level,3.49,in,G
03/01/2020,10:30:00,Flow_cfs,26.90,,G
03/01/2020,10:30:00,FlowVolume,6861727.28,,G
03/01/2020,10:35:00,PT Level,3.49,in,G
03/01/2020,10:35:00,Flow_cfs,26.90,,G
03/01/2020,10:35:00,FlowVolume,6861727.28,,G
03/01/2020,10:40:00,PT Level,3.50,in,G
03/01/2020,10:40:00,Flow_cfs,27.00,,G
03/01/2020,10:40:00,FlowVolume,6861727.28,,G
03/01/2020,10:45:00,PT Level,3.51,in,G
03/01/2020,10:45:00,Flow_cfs,27.10,,G
03/01/2020,10:45:00,FlowVolume,6861727.28,,G
03/01/2020,10:50:00,PT Level,3.49,in,G
03/01/2020,10:50:00,Flow_cfs,26.90,,G
03/01/2020,10:50:00,FlowVolume,6861727.28,,G
03/01/2020,10:55:00,PT Level,3.47,in,G
03/01/2020,10:55:00,Flow_cfs,26.70,,G
03/01/2020,10:55:00,FlowVolume,6861727.28,,G
03/01/2020,11:00:00,PT Level,3.49,in,G
03/01/2020,11:00:00,Flow_cfs,26.90,,G
03/01/2020,11:00:00,FlowVolume,6861727.28,,G
03/01/2020,11:05:00,PT Level,3.47,in,G
03/01/2020,11:05:00,Flow_cfs,26.70,,G
03/01/2020,11:05:00,FlowVolume,6861727.28,,G
03/01/2020,11:10:00,PT Level,3.48,in,G
03/01/2020,11:10:00,Flow_cfs,26.80,,G
03/01/2020,11:10:00,FlowVolume,6861727.28,,G
03/01/2020,11:15:00,PT Level,3.46,in,G
03/01/2020,11:15:00,Flow_cfs,26.60,,G
03/01/2020,11:15:00,FlowVolume,6861727.28,,G
03/01/2020,11:20:00,PT Level,3.47,in,G
03/01/2020,11:20:00,Flow_cfs,26.70,,G
03/01/2020,11:20:00,FlowVolume,6861727.28,,G
03/01/2020,11:25:00,PT Level,3.47,in,G
03/01/2020,11:25:00,Flow_cfs,26.70,,G
03/01/2020,11:25:00,FlowVolume,6861727.28,,G
03/01/2020,11:30:00,PT Level,3.46,in,G
03/01/2020,11:30:00,Flow_cfs,26.60,,G
03/01/2020,11:30:00,FlowVolume,6861727.28,,G
03/01/2020,11:35:00,PT Level,3.46,in,G
03/01/2020,11:35:00,Flow_cfs,26.60,,G
03/01/2020,11:35:00,FlowVolume,6861727.28,,G
03/01/2020,11:40:00,PT Level,3.46,in,G
03/01/2020,11:40:00,Flow_cfs,26.60,,G
03/01/2020,11:40:00,FlowVolume,6861727.28,,G
03/01/2020,11:45:00,PT Level,3.47,in,G
03/01/2020,11:45:00,Flow_cfs,26.70,,G
03/01/2020,11:45:00,FlowVolume,6861727.28,,G
03/01/2020,11:50:00,PT Level,3.46,in,G
03/01/2020,11:50:00,Flow_cfs,26.60,,G
03/01/2020,11:50:00,FlowVolume,6861727.28,,G
03/01/2020,11:55:00,PT Level,3.44,in,G
03/01/2020,11:55:00,Flow_cfs,26.40,,G
03/01/2020,11:55:00,FlowVolume,6861727.28,,G
03/01/2020,12:00:00,PT Level,3.47,in,G
03/01/2020,12:00:00,Flow_cfs,26.70,,G
03/01/2020,12:00:00,FlowVolume,6861727.28,,G
03/01/2020,12:05:00,PT Level,3.44,in,G
03/01/2020,12:05:00,Flow_cfs,26.40,,G
03/01/2020,12:05:00,FlowVolume,6861727.28,,G
03/01/2020,12:10:00,PT Level,3.46,in,G
03/01/2020,12:10:00,Flow_cfs,26.60,,G
03/01/2020,12:10:00,FlowVolume,6861727.28,,G
03/01/2020,12:15:00,PT Level,3.44,in,G
03/01/2020,12:15:00,Flow_cfs,26.40,,G
03/01/2020,12:15:00,FlowVolume,6861727.28,,G
03/01/2020,12:20:00,PT Level,3.44,in,G
03/01/2020,12:20:00,Flow_cfs,26.40,,G
03/01/2020,12:20:00,FlowVolume,6861727.28,,G
03/01/2020,12:25:00,PT Level,3.45,in,G
03/01/2020,12:25:00,Flow_cfs,26.50,,G
03/01/2020,12:25:00,FlowVolume,6861727.28,,G
03/01/2020,12:30:00,PT Level,3.45,in,G
03/01/2020,12:30:00,Flow_cfs,26.50,,G
03/01/2020,12:30:00,FlowVolume,6861727.28,,G
03/01/2020,12:35:00,PT Level,3.44,in,G
03/01/2020,12:35:00,Flow_cfs,26.40,,G
03/01/2020,12:35:00,FlowVolume,6861727.28,,G
03/01/2020,12:40:00,PT Level,3.44,in,G
03/01/2020,12:40:00,Flow_cfs,26.40,,G
03/01/2020,12:40:00,FlowVolume,6861727.28,,G
03/01/2020,12:45:00,PT Level,3.43,in,G
03/01/2020,12:45:00,Flow_cfs,26.30,,G
03/01/2020,12:45:00,FlowVolume,6861727.28,,G
03/01/2020,12:50:00,PT Level,3.44,in,G
03/01/2020,12:50:00,Flow_cfs,26.40,,G
03/01/2020,12:50:00,FlowVolume,6861727.28,,G
03/01/2020,12:55:00,PT Level,3.46,in,G
03/01/2020,12:55:00,Flow_cfs,26.60,,G
03/01/2020,12:55:00,FlowVolume,6861727.28,,G
03/01/2020,13:00:00,PT Level,3.41,in,G
03/01/2020,13:00:00,Flow_cfs,26.10,,G
03/01/2020,13:00:00,FlowVolume,6861727.28,,G
03/01/2020,13:05:00,PT Level,3.44,in,G
03/01/2020,13:05:00,Flow_cfs,26.40,,G
03/01/2020,13:05:00,FlowVolume,6861727.28,,G
03/01/2020,13:10:00,PT Level,3.43,in,G
03/01/2020,13:10:00,Flow_cfs,26.30,,G
03/01/2020,13:10:00,FlowVolume,6861727.28,,G
03/01/2020,13:15:00,PT Level,3.45,in,G
03/01/2020,13:15:00,Flow_cfs,26.50,,G
