Station Name,model and version,XL2 S/N,,,
LakeHodges_DELDIOS,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911381,,,
Label,Meas Type,Slope,Offset,Equation,
10/26/2020,13:30:00,Flow_cfs,0.41,,G
10/26/2020,13:30:00,Curr_pacing,320000,,G
10/26/2020,13:30:00,FlowVolume,0,,G
10/26/2020,13:35:00,PT Level,3.25,in,G
10/26/2020,13:35:00,Flow_cfs,0.41,,G
10/26/2020,13:35:00,Aliquot_Num,0,ali,G
10/26/2020,13:35:00,Curr_pacing,320000,,G
10/26/2020,13:35:00,FlowVolume,0,,G
10/26/2020,13:40:00,PT Level,3.25,in,G
10/26/2020,13:40:00,Aliquot_Num,0,ali,G
10/26/2020,13:40:00,Flow_cfs,0.41,,G
10/26/2020,13:40:00,Curr_pacing,320000,,G
10/26/2020,13:40:00,FlowVolume,0,,G
10/26/2020,13:45:00,PT Level,3.27,in,G
10/26/2020,13:45:00,Aliquot_Num,0,ali,G
10/26/2020,13:45:00,Flow_cfs,0.42,,G
10/26/2020,13:45:00,Curr_pacing,320000,,G
10/26/2020,13:45:00,FlowVolume,0,,G
10/26/2020,13:50:00,PT Level,3.27,in,G
10/26/2020,13:50:00,Flow_cfs,0.42,,G
10/26/2020,13:50:00,Aliquot_Num,0,ali,G
10/26/2020,13:50:00,Curr_pacing,320000,,G
10/26/2020,13:50:00,FlowVolume,0,,G
10/26/2020,13:55:00,PT Level,3.26,in,G
10/26/2020,13:55:00,Aliquot_Num,0,ali,G
10/26/2020,13:55:00,Flow_cfs,0.41,,G
10/26/2020,13:55:00,Curr_pacing,320000,,G
10/26/2020,13:55:00,FlowVolume,0,,G
10/26/2020,14:00:00,PT Level,3.25,in,G
10/26/2020,14:00:00,Flow_cfs,0.41,,G
10/26/2020,14:00:00,Aliquot_Num,0,ali,G
10/26/2020,14:00:00,Curr_pacing,320000,,G
10/26/2020,14:00:00,FlowVolume,0,,G
10/26/2020,14:05:00,PT Level,3.25,in,G
10/26/2020,14:05:00,Aliquot_Num,0,ali,G
10/26/2020,14:05:00,Flow_cfs,0.41,,G
10/26/2020,14:05:00,Curr_pacing,320000,,G
10/26/2020,14:05:00,FlowVolume,0,,G
10/26/2020,14:10:00,PT Level,3.24,in,G
10/26/2020,14:10:00,Flow_cfs,0.4,,G
10/26/2020,14:10:00,Aliquot_Num,0,ali,G
10/26/2020,14:10:00,Curr_pacing,320000,,G
10/26/2020,14:10:00,FlowVolume,0,,G
10/26/2020,14:15:00,PT Level,3.24,in,G
