Date,Time,PT Level,PT Flow cfs,Level_950,Vel_950,Flow_950,Curr_pacing,FlowVolume,Aliquot_Num,Battery_950
MM/dd/yyyy,hh:mm:ss,in,cfs,in,fps,cfs,,,ali,V
11/06/2020,00:10:00,1.88,0.430,-99999.00,0.10,0.00,0.00,0.00,0,
11/06/2020,00:15:00,1.89,0.435,-99999.00,0.12,0.00,0.00,0.00,0,
11/06/2020,00:20:00,1.88,0.430,-99999.00,0.11,0.00,0.00,0.00,0,
11/06/2020,00:25:00,2.21,0.606,-99999.00,0.22,0.00,0.00,0.00,0,
11/06/2020,00:30:00,2.08,0.538,-99999.00,0.02,1.20,0.00,0.00,0,
11/06/2020,00:35:00,2.02,0.502,-99999.00,0.00,1.16,0.00,0.00,0,
11/06/2020,00:40:00,2.00,0.490,-99999.00,0.15,0.00,0.00,0.00,0,
11/06/2020,00:45:00,2.00,0.490,-99999.00,0.00,1.16,0.00,0.00,0,
11/06/2020,00:50:00,1.98,0.480,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,00:55:00,1.97,0.475,-99999.00,0.00,1.11,0.00,0.00,0,
11/06/2020,01:00:00,1.97,0.475,1.11,0.00,0.00,0.00,0.00,0,12.80
11/06/2020,01:05:00,1.95,0.465,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,01:10:00,1.95,0.465,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,01:15:00,1.96,0.470,-99999.00,0.00,1.11,0.00,0.00,0,
11/06/2020,01:20:00,2.06,0.526,-99999.00,0.16,0.00,0.00,0.00,0,
11/06/2020,01:25:00,2.06,0.526,-99999.00,0.00,1.20,0.00,0.00,0,
11/06/2020,01:30:00,2.07,0.532,-99999.00,0.04,1.07,0.00,0.00,0,
11/06/2020,01:35:00,2.07,0.532,-99999.00,0.16,0.00,0.00,0.00,0,
11/06/2020,01:40:00,2.14,0.570,-99999.00,0.00,1.29,0.00,0.00,0,
11/06/2020,01:45:00,2.12,0.560,-99999.00,0.17,0.00,0.00,0.00,0,
11/06/2020,01:50:00,2.05,0.520,-99999.00,0.16,0.00,0.00,0.00,0,
11/06/2020,01:55:00,2.03,0.508,-99999.00,0.00,1.20,0.00,0.00,0,
11/06/2020,02:00:00,2.03,0.508,1.16,0.00,0.00,0.00,0.00,0,12.79
11/06/2020,02:05:00,2.07,0.532,-99999.00,0.17,0.00,0.00,0.00,0,
11/06/2020,02:10:00,2.00,0.490,-99999.00,0.15,0.00,0.00,0.00,0,
11/06/2020,02:15:00,2.00,0.490,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,02:20:00,1.97,0.475,-99999.00,0.00,1.07,0.00,0.00,0,
11/06/2020,02:25:00,2.00,0.490,-99999.00,0.07,1.11,0.00,0.00,0,
11/06/2020,02:30:00,1.98,0.480,-99999.00,0.00,1.11,0.00,0.00,0,
