Date,Time,PT Level,PT Flow cfs
11/06/2020,19:15:00,0.93,54.630
11/06/2020,19:20:00,0.94,55.540
11/06/2020,19:25:00,0.89,49.245
11/06/2020,19:30:00,0.97,60.750
11/06/2020,19:35:00,0.91,51.930
11/06/2020,19:40:00,0.95,57.250
11/06/2020,19:45:00,0.84,42.500
11/06/2020,19:50:00,0.86,45.300
11/06/2020,19:55:00,0.96,58.840
11/06/2020,20:00:00,0.91,51.930
11/06/2020,20:05:00,0.97,60.750
11/06/2020,20:10:00,0.99,63.690
11/06/2020,20:15:00,0.91,51.930
11/06/2020,20:20:00,0.94,55.540
11/06/2020,20:25:00,0.81,38.690
11/06/2020,20:30:00,0.88,48.450
11/06/2020,20:35:00,0.92,53.720
11/06/2020,20:40:00,0.89,49.245
11/06/2020,20:45:00,0.89,49.245
11/06/2020,20:50:00,0.89,49.245
11/06/2020,20:55:00,0.91,51.930
11/06/2020,21:00:00,0.93,54.630
11/06/2020,21:05:00,0.93,54.630
11/06/2020,21:10:00,0.88,48.450
11/06/2020,21:15:00,0.99,63.690
11/06/2020,21:20:00,0.99,63.690
11/06/2020,21:25:00,0.91,51.930
11/06/2020,21:30:00,0.94,55.540
11/06/2020,21:35:00,0.85,44.480
11/06/2020,21:40:00,0.87,46.120
11/06/2020,21:45:00,0.91,51.930
11/06/2020,21:50:00,0.83,41.595
11/06/2020,21:55:00,0.83,41.595
11/06/2020,22:00:00,0.82,40.690
11/06/2020,22:05:00,0.83,41.595
11/06/2020,22:10:00,0.85,44.480
11/06/2020,22:15:00,0.90,50.040
11/06/2020,22:20:00,0.84,42.500
11/06/2020,22:25:00,0.91,51.930
11/06/2020,22:30:00,1.00,64.680
11/06/2020,22:35:00,0.90,50.040
11/06/2020,22:40:00,1.40,142.950
11/06/2020,22:45:00,1.77,241.390
11/06/2020,22:50:00,1.79,248.270
11/06/2020,22:55:00,1.46,156.795
11/06/2020,23:00:00,1.96,302.980
11/06/2020,23:05:00,0.99,63.690
11/06/2020,23:10:00,0.96,58.840
11/06/2020,23:15:00,0.93,54.630
11/06/2020,23:20:00,0.88,48.450
11/06/2020,23:25:00,0.92,53.720
11/06/2020,23:30:00,0.86,45.300
11/06/2020,23:35:00,0.96,58.840
11/06/2020,23:40:00,0.97,60.750
11/06/2020,23:45:00,0.87,46.120
11/06/2020,23:50:00,0.95,57.250
11/06/2020,23:55:00,0.96,58.840
11/07/2020,00:00:00,0.91,51.930
11/07/2020,00:05:00,1.05,72.590
11/07/2020,00:10:00,0.99,63.690
11/07/2020,00:15:00,0.96,58.840
11/07/2020,00:20:00,0.93,54.630
11/07/2020,00:25:00,1.02,68.100
11/07/2020,00:30:00,0.86,45.300
11/07/2020,00:35:00,0.93,54.630
11/07/2020,00:40:00,0.88,48.450
11/07/2020,00:45:00,0.91,51.930
11/07/2020,00:50:00,0.95,57.250
11/07/2020,00:55:00,0.86,45.300
11/07/2020,01:00:00,0.93,54.630
11/07/2020,01:05:00,1.02,68.100
11/07/2020,01:10:00,0.94,55.540
11/07/2020,01:15:00,0.96,58.840
11/07/2020,01:20:00,0.89,49.245
11/07/2020,01:25:00,0.88,48.450
11/07/2020,01:30:00,0.88,48.450
11/07/2020,01:35:00,0.88,48.450
11/07/2020,01:40:00,0.90,50.040
11/07/2020,01:45:00,0.91,51.930
11/07/2020,01:50:00,0.84,42.500
11/07/2020,01:55:00,0.89,49.245
11/07/2020,02:00:00,0.89,49.245
11/07/2020,02:05:00,0.86,45.300
11/07/2020,02:10:00,0.87,46.120
11/07/2020,02:15:00,0.85,44.480
11/07/2020,02:20:00,0.83,41.595
11/07/2020,02:25:00,0.88,48.450
11/07/2020,02:30:00,0.83,41.595
11/07/2020,02:35:00,0.86,45.300
11/07/2020,02:40:00,0.88,48.450
11/07/2020,02:45:00,0.77,34.977
11/07/2020,02:50:00,0.77,34.977
11/07/2020,02:55:00,0.80,37.720
11/07/2020,03:00:00,0.84,42.500
11/07/2020,03:05:00,0.77,34.977
11/07/2020,03:10:00,0.87,46.120
11/07/2020,03:15:00,1.00,64.680
11/07/2020,03:20:00,0.92,53.720
11/07/2020,03:25:00,0.93,54.630
11/07/2020,03:30:00,1.02,68.100
11/07/2020,03:35:00,0.96,58.840
11/07/2020,03:40:00,1.31,121.690
11/07/2020,03:45:00,1.44,150.980
11/07/2020,03:50:00,1.21,101.240
11/07/2020,03:55:00,1.22,103.780
11/07/2020,04:00:00,1.85,266.230
11/07/2020,04:05:00,2.08,345.200
11/07/2020,04:10:00,2.04,329.190
11/07/2020,04:15:00,1.67,212.600
11/07/2020,04:20:00,1.56,182.310
11/07/2020,04:25:00,2.07,339.110
11/07/2020,04:30:00,1.94,296.250
11/07/2020,04:35:00,1.56,182.310
11/07/2020,04:40:00,1.84,263.540
11/07/2020,04:45:00,1.26,112.660
11/07/2020,04:50:00,1.36,133.560
11/07/2020,04:55:00,1.93,293.240
11/07/2020,05:00:00,1.64,203.870
11/07/2020,05:05:00,1.33,126.795
11/07/2020,05:10:00,1.21,101.240
11/07/2020,05:15:00,1.29,118.080
11/07/2020,05:20:00,10.28,6513.853
11/07/2020,05:25:00,12.69,8833.706
11/07/2020,05:30:00,14.90,11031.037
11/07/2020,05:35:00,10.82,7027.404
11/07/2020,05:40:00,5.97,2730.260
11/07/2020,05:45:00,4.39,1566.462
11/07/2020,05:50:00,4.98,1975.780
11/07/2020,05:55:00,3.43,972.770
11/07/2020,06:00:00,2.80,646.640
11/07/2020,06:05:00,2.12,360.090
11/07/2020,06:10:00,1.53,173.840
11/07/2020,06:15:00,1.30,119.885
11/07/2020,06:20:00,1.70,221.800
11/07/2020,06:25:00,1.79,248.270
11/07/2020,06:30:00,1.50,165.450
11/07/2020,06:35:00,1.83,260.850
11/07/2020,06:40:00,1.33,126.795
11/07/2020,06:45:00,1.33,126.795
11/07/2020,06:50:00,1.19,97.670
11/07/2020,06:55:00,1.33,126.795
11/07/2020,07:00:00,1.41,144.940
11/07/2020,07:05:00,1.23,106.170
11/07/2020,07:10:00,1.30,119.885
11/07/2020,07:15:00,1.19,97.670
11/07/2020,07:20:00,1.38,136.950
11/07/2020,07:25:00,0.95,57.250
11/07/2020,07:30:00,1.68,214.745
11/07/2020,07:35:00,2.06,336.620
11/07/2020,07:40:00,1.16,91.560
11/07/2020,07:45:00,1.95,299.260
11/07/2020,07:50:00,3.37,939.780
11/07/2020,07:55:00,3.51,1022.117
11/07/2020,08:00:00,4.89,1912.710
11/07/2020,08:05:00,4.06,1351.653
11/07/2020,08:10:00,4.53,1662.897
11/07/2020,08:15:00,3.72,1142.675
11/07/2020,08:20:00,3.12,805.605
11/07/2020,08:25:00,2.22,394.590
11/07/2020,08:30:00,2.50,510.810
11/07/2020,08:35:00,2.09,347.725
11/07/2020,08:40:00,2.43,479.690
11/07/2020,08:45:00,1.06,74.730
11/07/2020,08:50:00,1.70,221.800
11/07/2020,08:55:00,1.78,245.660
11/07/2020,09:00:00,1.40,142.950
11/07/2020,09:05:00,1.49,162.700
11/07/2020,09:10:00,1.26,112.660
11/07/2020,09:15:00,1.49,162.700
11/07/2020,09:20:00,1.33,126.795
11/07/2020,09:25:00,1.13,86.640
11/07/2020,09:30:00,0.90,50.040
11/07/2020,09:35:00,1.01,66.380
11/07/2020,09:40:00,1.05,72.590
11/07/2020,09:45:00,1.01,66.380
11/07/2020,09:50:00,1.07,76.900
11/07/2020,09:55:00,1.14,88.090
11/07/2020,10:00:00,5.94,2703.980
11/07/2020,10:05:00,3.09,788.422
11/07/2020,10:10:00,1.22,103.780
11/07/2020,10:15:00,0.62,20.640
11/07/2020,10:20:00,0.63,21.620
11/07/2020,10:25:00,1.09,78.940
11/07/2020,10:30:00,1.56,182.310
11/07/2020,10:35:00,1.55,180.600
11/07/2020,10:40:00,1.25,108.580
11/07/2020,10:45:00,1.03,69.850
11/07/2020,10:50:00,1.49,162.700
11/07/2020,10:55:00,0.92,53.720
11/07/2020,11:00:00,1.21,101.240
11/07/2020,11:05:00,1.38,136.950
11/07/2020,11:10:00,1.09,78.940
11/07/2020,11:15:00,1.36,133.560
11/07/2020,11:20:00,1.18,96.240
11/07/2020,11:25:00,1.00,64.680
11/07/2020,11:30:00,0.96,58.840
11/07/2020,11:35:00,1.08,77.920
11/07/2020,11:40:00,1.09,78.940
11/07/2020,11:45:00,0.91,51.930
11/07/2020,11:50:00,1.03,69.850
11/07/2020,11:55:00,0.93,54.630
11/07/2020,12:00:00,0.98,62.700
11/07/2020,12:05:00,0.86,45.300
11/07/2020,12:10:00,0.91,51.930
11/07/2020,12:15:00,0.92,53.720
11/07/2020,12:20:00,0.94,55.540
11/07/2020,12:25:00,1.04,71.220
11/07/2020,12:30:00,0.97,60.750
11/07/2020,12:35:00,0.89,49.245
11/07/2020,12:40:00,0.89,49.245
11/07/2020,12:45:00,0.99,63.690
11/07/2020,12:50:00,0.94,55.540
11/07/2020,12:55:00,0.90,50.040
11/07/2020,13:00:00,0.91,51.930
11/07/2020,13:05:00,0.89,49.245
11/07/2020,13:10:00,0.91,51.930
11/07/2020,13:15:00,0.93,54.630
11/07/2020,13:20:00,0.90,50.040
11/07/2020,13:25:00,0.83,41.595
11/07/2020,13:30:00,0.89,49.245
11/07/2020,13:35:00,0.87,46.120
11/07/2020,13:40:00,0.79,36.750
11/07/2020,13:45:00,0.75,32.600
11/07/2020,13:50:00,0.79,36.750
11/07/2020,13:55:00,0.87,46.120
11/07/2020,14:00:00,0.88,48.450
11/07/2020,14:05:00,0.78,35.863
11/07/2020,14:10:00,0.83,41.595
11/07/2020,14:15:00,0.75,32.600
11/07/2020,14:20:00,0.84,42.500
11/07/2020,14:25:00,0.83,41.595
11/07/2020,14:30:00,0.77,34.977
11/07/2020,14:35:00,0.74,31.640
11/07/2020,14:40:00,0.89,49.245
11/07/2020,14:45:00,0.71,28.785
11/07/2020,14:50:00,0.75,32.600
11/07/2020,14:55:00,0.82,40.690
11/07/2020,15:00:00,0.72,29.720
11/07/2020,15:05:00,0.83,41.595
11/07/2020,15:10:00,0.78,35.863
11/07/2020,15:15:00,0.77,34.977
11/07/2020,15:20:00,0.74,31.640
11/07/2020,15:25:00,0.79,36.750
11/07/2020,15:30:00,0.78,35.863
11/07/2020,15:35:00,0.76,34.090
11/07/2020,15:40:00,0.78,35.863
11/07/2020,15:45:00,0.76,34.090
11/07/2020,15:50:00,0.95,57.250
11/07/2020,15:55:00,0.88,48.450
11/07/2020,16:00:00,1.14,88.090
11/07/2020,16:05:00,0.93,54.630
11/07/2020,16:10:00,1.02,68.100
11/07/2020,16:15:00,1.13,86.640
11/07/2020,16:20:00,0.99,63.690
11/07/2020,16:25:00,1.05,72.590
11/07/2020,16:30:00,1.03,69.850
11/07/2020,16:35:00,0.97,60.750
11/07/2020,16:40:00,0.90,50.040
11/07/2020,16:45:00,1.00,64.680
11/07/2020,16:50:00,1.23,106.170
11/07/2020,16:55:00,1.30,119.885
11/07/2020,17:00:00,1.39,139.930
11/07/2020,17:05:00,1.31,121.690
11/07/2020,17:10:00,1.16,91.560
11/07/2020,17:15:00,1.38,136.950
11/07/2020,17:20:00,0.96,58.840
11/07/2020,17:25:00,1.14,88.090
11/07/2020,17:30:00,1.08,77.920
11/07/2020,17:35:00,4.07,1358.020
11/07/2020,17:40:00,2.91,697.687
11/07/2020,17:45:00,4.92,1932.710
11/07/2020,17:50:00,5.52,2378.583
11/07/2020,17:55:00,2.93,708.860
11/07/2020,18:00:00,1.77,241.390
11/07/2020,18:05:00,1.57,184.020
11/07/2020,18:10:00,2.24,404.025
11/07/2020,18:15:00,1.87,273.260
11/07/2020,18:20:00,1.80,250.880
11/07/2020,18:25:00,1.48,160.725
11/07/2020,18:30:00,1.33,126.795
11/07/2020,18:35:00,1.18,96.240
11/07/2020,18:40:00,1.50,165.450
11/07/2020,18:45:00,1.25,108.580
11/07/2020,18:50:00,1.22,103.780
11/07/2020,18:55:00,1.68,214.745
11/07/2020,19:00:00,1.35,131.100
11/07/2020,19:05:00,1.45,154.840
11/07/2020,19:10:00,1.47,158.750
11/07/2020,19:15:00,1.64,203.870
11/07/2020,19:20:00,1.51,169.490
11/07/2020,19:25:00,3.69,1124.623
11/07/2020,19:30:00,4.57,1692.970
11/07/2020,19:35:00,3.36,934.390
11/07/2020,19:40:00,7.26,3787.562
11/07/2020,19:45:00,3.99,1309.260
11/07/2020,19:50:00,3.14,818.140
11/07/2020,19:55:00,2.03,325.865
11/07/2020,20:00:00,1.84,263.540
11/07/2020,20:05:00,1.93,293.240
11/07/2020,20:10:00,1.73,228.990
11/07/2020,20:15:00,1.92,288.610
11/07/2020,20:20:00,1.54,177.200
11/07/2020,20:25:00,1.17,93.790
11/07/2020,20:30:00,1.81,253.515
11/07/2020,20:35:00,1.50,165.450
11/07/2020,20:40:00,1.54,177.200
11/07/2020,20:45:00,1.16,91.560
11/07/2020,20:50:00,1.16,91.560
11/07/2020,20:55:00,1.11,83.800
11/07/2020,21:00:00,1.20,99.100
11/07/2020,21:05:00,1.11,83.800
11/07/2020,21:10:00,1.00,64.680
11/07/2020,21:15:00,1.06,74.730
11/07/2020,21:20:00,1.06,74.730
11/07/2020,21:25:00,0.83,41.595
11/07/2020,21:30:00,0.96,58.840
11/07/2020,21:35:00,1.10,81.520
11/07/2020,21:40:00,0.78,35.863
11/07/2020,21:45:00,0.99,63.690
11/07/2020,21:50:00,0.99,63.690
11/07/2020,21:55:00,0.99,63.690
11/07/2020,22:00:00,1.00,64.680
11/07/2020,22:05:00,0.96,58.840
11/07/2020,22:10:00,1.04,71.220
11/07/2020,22:15:00,0.85,44.480
11/07/2020,22:20:00,0.84,42.500
11/07/2020,22:25:00,0.90,50.040
11/07/2020,22:30:00,0.86,45.300
11/07/2020,22:35:00,0.96,58.840
11/07/2020,22:40:00,0.92,53.720
11/07/2020,22:45:00,0.85,44.480
11/07/2020,22:50:00,0.94,55.540
11/07/2020,22:55:00,0.88,48.450
11/07/2020,23:00:00,0.96,58.840
11/07/2020,23:05:00,0.84,42.500
11/07/2020,23:10:00,0.83,41.595
11/07/2020,23:15:00,0.97,60.750
11/07/2020,23:20:00,0.88,48.450
11/07/2020,23:25:00,0.85,44.480
11/07/2020,23:30:00,0.89,49.245
11/07/2020,23:35:00,0.92,53.720
11/07/2020,23:40:00,1.06,74.730
11/07/2020,23:45:00,1.02,68.100
11/07/2020,23:50:00,0.89,49.245
11/07/2020,23:55:00,0.87,46.120
11/08/2020,00:00:00,0.94,55.540
11/08/2020,00:05:00,0.93,54.630
11/08/2020,00:10:00,0.90,50.040
11/08/2020,00:15:00,0.96,58.840
11/08/2020,00:20:00,0.83,41.595
11/08/2020,00:25:00,0.82,40.690
11/08/2020,00:30:00,0.86,45.300
11/08/2020,00:35:00,0.88,48.450
11/08/2020,00:40:00,0.77,34.977
11/08/2020,00:45:00,0.83,41.595
11/08/2020,00:50:00,0.78,35.863
11/08/2020,00:55:00,0.82,40.690
11/08/2020,01:00:00,0.74,31.640
11/08/2020,01:05:00,0.83,41.595
11/08/2020,01:10:00,0.82,40.690
11/08/2020,01:15:00,0.75,32.600
11/08/2020,01:20:00,0.71,28.785
11/08/2020,01:25:00,0.94,55.540
11/08/2020,01:30:00,0.82,40.690
11/08/2020,01:35:00,0.76,34.090
11/08/2020,01:40:00,0.87,46.120
11/08/2020,01:45:00,0.82,40.690
11/08/2020,01:50:00,0.89,49.245
11/08/2020,01:55:00,0.91,51.930
11/08/2020,02:00:00,0.75,32.600
11/08/2020,02:05:00,0.74,31.640
11/08/2020,02:10:00,0.74,31.640
11/08/2020,02:15:00,0.80,37.720
11/08/2020,02:20:00,0.68,25.400
11/08/2020,02:25:00,0.79,36.750
11/08/2020,02:30:00,0.73,30.680
11/08/2020,02:35:00,0.88,48.450
11/08/2020,02:40:00,0.75,32.600
11/08/2020,02:45:00,0.69,26.625
11/08/2020,02:50:00,0.76,34.090
11/08/2020,02:55:00,0.68,25.400
11/08/2020,03:00:00,0.72,29.720
11/08/2020,03:05:00,1.07,76.900
11/08/2020,03:10:00,1.05,72.590
11/08/2020,03:15:00,1.07,76.900
11/08/2020,03:20:00,0.97,60.750
11/08/2020,03:25:00,1.33,126.795
11/08/2020,03:30:00,1.24,107.375
11/08/2020,03:35:00,1.14,88.090
11/08/2020,03:40:00,1.28,115.770
11/08/2020,03:45:00,1.33,126.795
11/08/2020,03:50:00,1.04,71.220
11/08/2020,03:55:00,1.09,78.940
11/08/2020,04:00:00,1.00,64.680
11/08/2020,04:05:00,1.06,74.730
11/08/2020,04:10:00,1.06,74.730
11/08/2020,04:15:00,0.97,60.750
11/08/2020,04:20:00,1.14,88.090
11/08/2020,04:25:00,1.34,128.220
11/08/2020,04:30:00,1.01,66.380
11/08/2020,04:35:00,1.03,69.850
11/08/2020,04:40:00,1.06,74.730
11/08/2020,04:45:00,1.70,221.800
11/08/2020,04:50:00,2.19,382.800
11/08/2020,04:55:00,2.04,329.190
11/08/2020,05:00:00,2.59,548.550
11/08/2020,05:05:00,2.38,458.420
11/08/2020,05:10:00,2.28,420.620
11/08/2020,05:15:00,2.27,416.695
11/08/2020,05:20:00,2.73,614.263
11/08/2020,05:25:00,2.13,363.780
11/08/2020,05:30:00,1.41,144.940
11/08/2020,05:35:00,1.60,192.065
11/08/2020,05:40:00,1.33,126.795
11/08/2020,05:45:00,1.11,83.800
11/08/2020,05:50:00,1.19,97.670
11/08/2020,05:55:00,1.20,99.100
11/08/2020,06:00:00,1.03,69.850
11/08/2020,06:05:00,1.19,97.670
11/08/2020,06:10:00,1.53,173.840
11/08/2020,06:15:00,1.14,88.090
11/08/2020,06:20:00,1.19,97.670
11/08/2020,06:25:00,1.03,69.850
11/08/2020,06:30:00,1.03,69.850
11/08/2020,06:35:00,1.16,91.560
11/08/2020,06:40:00,1.02,68.100
11/08/2020,06:45:00,1.08,77.920
11/08/2020,06:50:00,1.24,107.375
11/08/2020,06:55:00,1.34,128.220
11/08/2020,07:00:00,1.11,83.800
11/08/2020,07:05:00,1.31,121.690
11/08/2020,07:10:00,1.16,91.560
11/08/2020,07:15:00,1.30,119.885
11/08/2020,07:20:00,1.20,99.100
11/08/2020,07:25:00,1.20,99.100
11/08/2020,07:30:00,1.27,114.215
11/08/2020,07:35:00,1.20,99.100
11/08/2020,07:40:00,1.04,71.220
11/08/2020,07:45:00,1.14,88.090
11/08/2020,07:50:00,1.00,64.680
11/08/2020,07:55:00,1.12,85.220
11/08/2020,08:00:00,1.09,78.940
11/08/2020,08:05:00,0.92,53.720
11/08/2020,08:10:00,1.07,76.900
11/08/2020,08:15:00,0.94,55.540
11/08/2020,08:20:00,0.88,48.450
11/08/2020,08:25:00,1.02,68.100
11/08/2020,08:30:00,1.03,69.850
11/08/2020,08:35:00,0.96,58.840
11/08/2020,08:40:00,0.99,63.690
11/08/2020,08:45:00,0.88,48.450
11/08/2020,08:50:00,0.89,49.245
11/08/2020,08:55:00,0.85,44.480
11/08/2020,09:00:00,0.95,57.250
11/08/2020,09:05:00,0.94,55.540
11/08/2020,09:10:00,0.91,51.930
11/08/2020,09:15:00,0.92,53.720
11/08/2020,09:20:00,0.92,53.720
11/08/2020,09:25:00,0.96,58.840
11/08/2020,09:30:00,0.82,40.690
11/08/2020,09:35:00,0.83,41.595
11/08/2020,09:40:00,0.88,48.450
11/08/2020,09:45:00,0.88,48.450
11/08/2020,09:50:00,0.85,44.480
11/08/2020,09:55:00,0.94,55.540
11/08/2020,10:00:00,0.70,27.850
11/08/2020,10:05:00,1.66,208.910
11/08/2020,10:10:00,3.63,1088.558
11/08/2020,10:15:00,7.18,3722.313
11/08/2020,10:20:00,7.78,4241.580
11/08/2020,10:25:00,3.53,1033.114
11/08/2020,10:30:00,4.02,1327.056
11/08/2020,10:35:00,2.17,376.410
11/08/2020,10:40:00,2.34,444.050
11/08/2020,10:45:00,1.90,281.045
11/08/2020,10:50:00,1.46,156.795
11/08/2020,10:55:00,2.77,631.485
11/08/2020,11:00:00,2.57,542.340
11/08/2020,11:05:00,3.10,793.070
11/08/2020,11:10:00,3.27,885.430
11/08/2020,11:15:00,2.43,479.690
11/08/2020,11:20:00,1.78,245.660
11/08/2020,11:25:00,1.89,278.110
11/08/2020,11:30:00,1.64,203.870
11/08/2020,11:35:00,1.51,169.490
11/08/2020,11:40:00,1.72,226.480
11/08/2020,11:45:00,1.23,106.170
11/08/2020,11:50:00,1.45,154.840
11/08/2020,11:55:00,1.17,93.790
11/08/2020,12:00:00,1.08,77.920
11/08/2020,12:05:00,1.14,88.090
11/08/2020,12:10:00,0.97,60.750
11/08/2020,12:15:00,0.91,51.930
11/08/2020,12:20:00,1.05,72.590
11/08/2020,12:25:00,1.00,64.680
11/08/2020,12:30:00,1.28,115.770
11/08/2020,12:35:00,0.83,41.595
11/08/2020,12:40:00,1.05,72.590
11/08/2020,12:45:00,1.05,72.590
11/08/2020,12:50:00,1.14,88.090
11/08/2020,12:55:00,0.99,63.690
11/08/2020,13:00:00,0.93,54.630
11/08/2020,13:05:00,0.98,62.700
11/08/2020,13:10:00,1.35,131.100
11/08/2020,13:15:00,1.27,114.215
11/08/2020,13:20:00,1.86,269.745
11/08/2020,13:25:00,2.87,678.942
11/08/2020,13:30:00,5.72,2530.700
11/08/2020,13:35:00,5.40,2289.327
11/08/2020,13:40:00,3.39,950.777
11/08/2020,13:45:00,4.22,1457.260
11/08/2020,13:50:00,2.07,339.110
11/08/2020,13:55:00,2.92,703.273
11/08/2020,14:00:00,1.66,208.910
11/08/2020,14:05:00,1.92,288.610
11/08/2020,14:10:00,1.11,83.800
11/08/2020,14:15:00,1.10,81.520
11/08/2020,14:20:00,1.63,201.375
11/08/2020,14:25:00,1.07,76.900
11/08/2020,14:30:00,0.91,51.930
11/08/2020,14:35:00,1.38,136.950
11/08/2020,14:40:00,1.36,133.560
11/08/2020,14:45:00,1.11,83.800
