Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,in,gpm
03/03/2021 05:55:00,40000,1,0.00,0,0.47,0.10,0.815,1.34,129.535
03/03/2021 05:56:00,40000,1,0.00,,,,,,
03/03/2021 05:57:00,40000,1,0.00,,,,,,
03/03/2021 05:58:00,40000,1,0.00,,,,,,
03/03/2021 05:59:00,40000,1,0.00,,,,,,
03/03/2021 06:00:00,40000,1,0.00,0,0.43,0.18,1.274,1.45,154.353
03/03/2021 06:01:00,40000,1,0.00,,,,,,
03/03/2021 06:02:00,40000,1,0.00,,,,,,
03/03/2021 06:03:00,40000,1,0.00,,,,,,
03/03/2021 06:04:00,40000,1,0.00,,,,,,
03/03/2021 06:05:00,40000,1,0.00,0,0.43,0.31,2.157,1.41,144.933
03/03/2021 06:06:00,40000,1,0.00,,,,,,
03/03/2021 06:07:00,40000,1,0.00,,,,,,
03/03/2021 06:08:00,40000,1,0.00,,,,,,
03/03/2021 06:09:00,40000,1,0.00,,,,,,
03/03/2021 06:10:00,40000,1,0.00,0,0.30,0.02,0.099,1.34,129.535
03/03/2021 06:11:00,40000,1,0.00,,,,,,
03/03/2021 06:12:00,40000,1,0.00,,,,,,
03/03/2021 06:13:00,40000,1,0.00,,,,,,
03/03/2021 06:14:00,40000,1,0.00,,,,,,
03/03/2021 06:15:00,40000,1,0.00,0,0.34,0.26,1.298,1.38,137.868
03/03/2021 06:16:00,40000,1,0.00,,,,,,
03/03/2021 06:17:00,40000,1,0.00,,,,,,
03/03/2021 06:18:00,40000,1,0.00,,,,,,
03/03/2021 06:19:00,40000,1,0.00,,,,,,
03/03/2021 06:20:00,40000,1,0.00,0,0.30,0.32,1.309,1.47,159.188
03/03/2021 06:21:00,40000,1,0.00,,,,,,
03/03/2021 06:22:00,40000,1,0.00,,,,,,
03/03/2021 06:23:00,40000,1,0.00,,,,,,
03/03/2021 06:24:00,40000,1,0.00,,,,,,
03/03/2021 06:25:00,40000,1,0.00,0,0.43,0.28,1.954,1.47,159.188
03/03/2021 06:26:00,40000,1,0.00,,,,,,
03/03/2021 06:27:00,40000,1,0.00,,,,,,
03/03/2021 06:28:00,40000,1,0.00,,,,,,
