Station Name,model and version,XL2 S/N
Oceans11_DW0011,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911375
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,5.270000,Off
PT Flow cfs,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
10/27/2020,02:05:00,PT_Level,-4.92,in,G
10/27/2020,02:10:00,PT_Level,-4.92,in,G
10/27/2020,02:15:00,PT_Level,-4.93,in,G
10/27/2020,02:20:00,PT_Level,-4.92,in,G
10/27/2020,02:25:00,PT_Level,-4.91,in,G
10/27/2020,02:30:00,PT_Level,-4.84,in,G
10/27/2020,02:35:00,PT_Level,-4.87,in,G
10/27/2020,02:40:00,PT_Level,-4.85,in,G
10/27/2020,02:45:00,PT_Level,-4.82,in,G
10/27/2020,02:50:00,PT_Level,-4.90,in,G
10/27/2020,02:55:00,PT_Level,-4.89,in,G
10/27/2020,03:00:00,PT_Level,-4.24,in,G
10/27/2020,03:05:00,PT_Level,-4.38,in,G
10/27/2020,03:10:00,PT_Level,-4.63,in,G
10/27/2020,03:15:00,PT_Level,-4.74,in,G
10/27/2020,03:20:00,PT_Level,-4.81,in,G
10/27/2020,03:25:00,PT_Level,-4.85,in,G
10/27/2020,03:30:00,PT_Level,-4.86,in,G
10/27/2020,03:35:00,PT_Level,-4.87,in,G
10/27/2020,03:40:00,PT_Level,-4.88,in,G
10/27/2020,03:45:00,PT_Level,-4.89,in,G
10/27/2020,03:50:00,PT_Level,-4.90,in,G
10/27/2020,03:55:00,PT_Level,-4.91,in,G
10/27/2020,04:00:00,PT_Level,-4.90,in,G
10/27/2020,04:05:00,PT_Level,-4.91,in,G
10/27/2020,04:10:00,PT_Level,-4.90,in,G
10/27/2020,04:15:00,PT_Level,-4.91,in,G
10/27/2020,04:20:00,PT_Level,-4.91,in,G
10/27/2020,04:25:00,PT_Level,-4.91,in,G
10/27/2020,04:30:00,PT_Level,-4.91,in,G
10/27/2020,04:35:00,PT_Level,-4.91,in,G
10/27/2020,04:40:00,PT_Level,-4.90,in,G
10/27/2020,04:45:00,PT_Level,-4.91,in,G
10/27/2020,04:50:00,PT_Level,-4.90,in,G
10/27/2020,04:55:00,PT_Level,-4.91,in,G
10/27/2020,05:00:00,PT_Level,-4.91,in,G
10/27/2020,05:05:00,PT_Level,-4.91,in,G
10/27/2020,05:10:00,PT_Level,-4.90,in,G
10/27/2020,05:15:00,PT_Level,-4.91,in,G
10/27/2020,05:20:00,PT_Level,-4.91,in,G
10/27/2020,05:25:00,PT_Level,-4.91,in,G
10/27/2020,05:30:00,PT_Level,-4.91,in,G
10/27/2020,05:35:00,PT_Level,-4.91,in,G
10/27/2020,05:40:00,PT_Level,-4.91,in,G
10/27/2020,05:45:00,PT_Level,-4.90,in,G
10/27/2020,05:50:00,PT_Level,-4.91,in,G
10/27/2020,05:55:00,PT_Level,-4.90,in,G
10/27/2020,06:00:00,PT_Level,-4.92,in,G
10/27/2020,06:05:00,PT_Level,-4.91,in,G
10/27/2020,06:10:00,PT_Level,-4.91,in,G
10/27/2020,06:15:00,PT_Level,-4.92,in,G
10/27/2020,06:20:00,PT_Level,-4.91,in,G
