Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
02/17/2021 13:40:00,0.39,0.31,1.839,1.37,135.785
02/17/2021 13:45:00,0.39,0.31,1.863,1.30,120.584
02/17/2021 13:50:00,0.34,0.37,1.856,1.37,135.785
02/17/2021 13:55:00,0.52,0.38,3.497,1.36,133.701
02/17/2021 14:00:00,0.30,0.30,1.242,1.37,135.785
02/17/2021 14:05:00,0.34,0.34,1.695,1.28,115.799
02/17/2021 14:10:00,0.47,0.39,3.122,1.43,149.643
02/17/2021 14:15:00,0.34,0.30,1.519,1.31,122.976
02/17/2021 14:20:00,0.47,0.39,3.122,1.37,135.785
02/17/2021 14:25:00,0.26,0.44,1.446,1.42,147.288
02/17/2021 14:30:00,0.30,0.34,1.387,1.38,137.868
02/17/2021 14:35:00,0.34,0.02,0.106,1.39,140.223
02/17/2021 14:40:00,0.43,0.33,2.304,1.34,129.535
02/17/2021 14:45:00,0.43,0.33,2.283,1.38,137.868
02/17/2021 14:50:00,0.30,0.33,1.379,1.34,129.535
02/17/2021 14:55:00,0.43,0.35,2.465,1.41,144.933
02/17/2021 15:00:00,0.43,0.34,2.367,1.39,140.223
02/17/2021 15:05:00,0.43,0.39,2.738,1.36,133.701
02/17/2021 15:10:00,0.43,0.44,3.067,1.39,140.223
02/17/2021 15:15:00,0.30,0.30,1.242,1.45,154.353
02/17/2021 15:20:00,0.30,0.30,1.234,1.39,140.223
02/17/2021 15:25:00,0.43,0.36,2.528,1.41,144.933
02/17/2021 15:30:00,0.30,0.39,1.606,1.39,140.223
02/17/2021 15:35:00,0.52,1.20,11.005,1.42,147.288
02/17/2021 15:40:00,0.30,0.31,1.296,1.36,133.701
02/17/2021 15:45:00,0.34,0.30,1.524,1.36,133.701
02/17/2021 15:50:00,0.43,0.46,3.200,1.33,127.451
02/17/2021 15:55:00,0.47,0.34,2.775,1.30,120.584
02/17/2021 16:00:00,0.13,0.29,0.316,1.36,133.701
02/17/2021 16:05:00,0.13,0.36,0.396,1.25,109.094
02/17/2021 16:10:00,0.30,0.43,1.783,1.25,109.094
02/17/2021 16:15:00,0.47,0.71,5.743,1.45,154.353
02/17/2021 16:20:00,0.47,0.56,4.477,1.41,144.933
02/17/2021 16:25:00,0.43,0.39,2.738,1.40,142.578
